,mess_mess-galav,mess_mess-kumard,mess_mess-ssai,remarks_Add-On,remarks_Basic,remarks_Basic-AddOn,day_of_week,time,count
61,1.0,0.0,0.0,1.0,0.0,0.0,0,545,6
62,1.0,0.0,0.0,1.0,0.0,0.0,0,546,4
63,1.0,0.0,0.0,1.0,0.0,0.0,0,547,9
64,1.0,0.0,0.0,1.0,0.0,0.0,0,548,9
65,1.0,0.0,0.0,1.0,0.0,0.0,0,549,12
66,1.0,0.0,0.0,1.0,0.0,0.0,0,550,9
67,1.0,0.0,0.0,1.0,0.0,0.0,0,551,10
68,1.0,0.0,0.0,1.0,0.0,0.0,0,552,14
69,1.0,0.0,0.0,1.0,0.0,0.0,0,553,15
70,1.0,0.0,0.0,1.0,0.0,0.0,0,554,8
71,1.0,0.0,0.0,1.0,0.0,0.0,0,555,9
72,1.0,0.0,0.0,1.0,0.0,0.0,0,556,10
73,1.0,0.0,0.0,1.0,0.0,0.0,0,557,8
74,1.0,0.0,0.0,1.0,0.0,0.0,0,558,8
75,1.0,0.0,0.0,1.0,0.0,0.0,0,559,11
76,1.0,0.0,0.0,1.0,0.0,0.0,0,560,12
77,1.0,0.0,0.0,1.0,0.0,0.0,0,561,9
78,1.0,0.0,0.0,1.0,0.0,0.0,0,562,13
79,1.0,0.0,0.0,1.0,0.0,0.0,0,563,7
80,1.0,0.0,0.0,1.0,0.0,0.0,0,564,10
81,1.0,0.0,0.0,1.0,0.0,0.0,0,565,12
82,1.0,0.0,0.0,1.0,0.0,0.0,0,566,5
83,1.0,0.0,0.0,1.0,0.0,0.0,0,567,4
84,1.0,0.0,0.0,1.0,0.0,0.0,0,568,4
85,1.0,0.0,0.0,1.0,0.0,0.0,0,569,10
86,1.0,0.0,0.0,1.0,0.0,0.0,0,570,10
87,1.0,0.0,0.0,1.0,0.0,0.0,0,571,5
88,1.0,0.0,0.0,1.0,0.0,0.0,0,572,6
89,1.0,0.0,0.0,1.0,0.0,0.0,0,573,13
90,1.0,0.0,0.0,1.0,0.0,0.0,0,574,11
91,1.0,0.0,0.0,1.0,0.0,0.0,0,575,14
92,1.0,0.0,0.0,1.0,0.0,0.0,0,576,16
93,1.0,0.0,0.0,1.0,0.0,0.0,0,577,12
94,1.0,0.0,0.0,1.0,0.0,0.0,0,578,6
95,1.0,0.0,0.0,1.0,0.0,0.0,0,579,11
96,1.0,0.0,0.0,1.0,0.0,0.0,0,580,13
97,1.0,0.0,0.0,1.0,0.0,0.0,0,581,15
98,1.0,0.0,0.0,1.0,0.0,0.0,0,582,5
99,1.0,0.0,0.0,1.0,0.0,0.0,0,583,1
100,1.0,0.0,0.0,1.0,0.0,0.0,0,584,5
101,1.0,0.0,0.0,1.0,0.0,0.0,0,585,13
102,1.0,0.0,0.0,1.0,0.0,0.0,0,586,13
103,1.0,0.0,0.0,1.0,0.0,0.0,0,587,7
104,1.0,0.0,0.0,1.0,0.0,0.0,0,588,10
105,1.0,0.0,0.0,1.0,0.0,0.0,0,589,5
106,1.0,0.0,0.0,1.0,0.0,0.0,0,590,6
107,1.0,0.0,0.0,1.0,0.0,0.0,0,591,5
108,1.0,0.0,0.0,1.0,0.0,0.0,0,592,10
109,1.0,0.0,0.0,1.0,0.0,0.0,0,593,6
110,1.0,0.0,0.0,1.0,0.0,0.0,0,594,9
111,1.0,0.0,0.0,1.0,0.0,0.0,0,595,13
112,1.0,0.0,0.0,1.0,0.0,0.0,0,596,15
113,1.0,0.0,0.0,1.0,0.0,0.0,0,597,5
114,1.0,0.0,0.0,1.0,0.0,0.0,0,598,10
115,1.0,0.0,0.0,1.0,0.0,0.0,0,599,13
116,1.0,0.0,0.0,1.0,0.0,0.0,0,600,14
117,1.0,0.0,0.0,1.0,0.0,0.0,0,601,12
118,1.0,0.0,0.0,1.0,0.0,0.0,0,602,5
119,1.0,0.0,0.0,1.0,0.0,0.0,0,603,9
120,1.0,0.0,0.0,1.0,0.0,0.0,0,604,11
121,1.0,0.0,0.0,1.0,0.0,0.0,0,605,3
122,1.0,0.0,0.0,1.0,0.0,0.0,0,606,3
123,1.0,0.0,0.0,1.0,0.0,0.0,0,607,7
124,1.0,0.0,0.0,1.0,0.0,0.0,0,608,10
125,1.0,0.0,0.0,1.0,0.0,0.0,0,609,10
126,1.0,0.0,0.0,1.0,0.0,0.0,0,610,8
127,1.0,0.0,0.0,1.0,0.0,0.0,0,611,7
128,1.0,0.0,0.0,1.0,0.0,0.0,0,612,6
129,1.0,0.0,0.0,1.0,0.0,0.0,0,613,6
130,1.0,0.0,0.0,1.0,0.0,0.0,0,614,6
131,1.0,0.0,0.0,1.0,0.0,0.0,0,615,6
132,1.0,0.0,0.0,1.0,0.0,0.0,0,616,7
133,1.0,0.0,0.0,1.0,0.0,0.0,0,617,4
134,1.0,0.0,0.0,1.0,0.0,0.0,0,618,3
135,1.0,0.0,0.0,1.0,0.0,0.0,0,619,4
136,1.0,0.0,0.0,1.0,0.0,0.0,0,620,1
137,1.0,0.0,0.0,1.0,0.0,0.0,0,621,1
138,1.0,0.0,0.0,1.0,0.0,0.0,0,625,2
139,1.0,0.0,0.0,1.0,0.0,0.0,0,631,1
140,1.0,0.0,0.0,1.0,0.0,0.0,0,642,2
141,1.0,0.0,0.0,1.0,0.0,0.0,0,740,1
142,1.0,0.0,0.0,1.0,0.0,0.0,0,747,1
143,1.0,0.0,0.0,1.0,0.0,0.0,0,750,1
144,1.0,0.0,0.0,1.0,0.0,0.0,0,751,2
145,1.0,0.0,0.0,1.0,0.0,0.0,0,752,3
146,1.0,0.0,0.0,1.0,0.0,0.0,0,753,2
147,1.0,0.0,0.0,1.0,0.0,0.0,0,754,6
148,1.0,0.0,0.0,1.0,0.0,0.0,0,755,3
149,1.0,0.0,0.0,1.0,0.0,0.0,0,756,5
150,1.0,0.0,0.0,1.0,0.0,0.0,0,757,10
151,1.0,0.0,0.0,1.0,0.0,0.0,0,758,4
152,1.0,0.0,0.0,1.0,0.0,0.0,0,759,10
153,1.0,0.0,0.0,1.0,0.0,0.0,0,760,3
154,1.0,0.0,0.0,1.0,0.0,0.0,0,761,1
155,1.0,0.0,0.0,1.0,0.0,0.0,0,762,5
156,1.0,0.0,0.0,1.0,0.0,0.0,0,763,1
157,1.0,0.0,0.0,1.0,0.0,0.0,0,764,7
158,1.0,0.0,0.0,1.0,0.0,0.0,0,765,5
159,1.0,0.0,0.0,1.0,0.0,0.0,0,766,3
160,1.0,0.0,0.0,1.0,0.0,0.0,0,767,4
161,1.0,0.0,0.0,1.0,0.0,0.0,0,768,8
162,1.0,0.0,0.0,1.0,0.0,0.0,0,769,2
163,1.0,0.0,0.0,1.0,0.0,0.0,0,770,2
164,1.0,0.0,0.0,1.0,0.0,0.0,0,771,1
165,1.0,0.0,0.0,1.0,0.0,0.0,0,772,2
166,1.0,0.0,0.0,1.0,0.0,0.0,0,773,1
167,1.0,0.0,0.0,1.0,0.0,0.0,0,774,3
168,1.0,0.0,0.0,1.0,0.0,0.0,0,775,1
169,1.0,0.0,0.0,1.0,0.0,0.0,0,776,2
170,1.0,0.0,0.0,1.0,0.0,0.0,0,777,3
171,1.0,0.0,0.0,1.0,0.0,0.0,0,778,4
172,1.0,0.0,0.0,1.0,0.0,0.0,0,779,1
173,1.0,0.0,0.0,1.0,0.0,0.0,0,780,4
174,1.0,0.0,0.0,1.0,0.0,0.0,0,781,1
175,1.0,0.0,0.0,1.0,0.0,0.0,0,782,1
176,1.0,0.0,0.0,1.0,0.0,0.0,0,783,5
177,1.0,0.0,0.0,1.0,0.0,0.0,0,785,5
178,1.0,0.0,0.0,1.0,0.0,0.0,0,786,5
179,1.0,0.0,0.0,1.0,0.0,0.0,0,787,4
180,1.0,0.0,0.0,1.0,0.0,0.0,0,788,4
181,1.0,0.0,0.0,1.0,0.0,0.0,0,789,3
182,1.0,0.0,0.0,1.0,0.0,0.0,0,790,1
183,1.0,0.0,0.0,1.0,0.0,0.0,0,792,1
184,1.0,0.0,0.0,1.0,0.0,0.0,0,793,1
185,1.0,0.0,0.0,1.0,0.0,0.0,0,794,4
186,1.0,0.0,0.0,1.0,0.0,0.0,0,795,3
187,1.0,0.0,0.0,1.0,0.0,0.0,0,796,4
188,1.0,0.0,0.0,1.0,0.0,0.0,0,797,3
189,1.0,0.0,0.0,1.0,0.0,0.0,0,798,7
190,1.0,0.0,0.0,1.0,0.0,0.0,0,799,5
191,1.0,0.0,0.0,1.0,0.0,0.0,0,800,4
192,1.0,0.0,0.0,1.0,0.0,0.0,0,801,1
193,1.0,0.0,0.0,1.0,0.0,0.0,0,802,3
194,1.0,0.0,0.0,1.0,0.0,0.0,0,803,3
195,1.0,0.0,0.0,1.0,0.0,0.0,0,804,3
196,1.0,0.0,0.0,1.0,0.0,0.0,0,805,2
197,1.0,0.0,0.0,1.0,0.0,0.0,0,806,5
198,1.0,0.0,0.0,1.0,0.0,0.0,0,807,3
199,1.0,0.0,0.0,1.0,0.0,0.0,0,808,6
200,1.0,0.0,0.0,1.0,0.0,0.0,0,809,4
201,1.0,0.0,0.0,1.0,0.0,0.0,0,810,6
202,1.0,0.0,0.0,1.0,0.0,0.0,0,811,5
203,1.0,0.0,0.0,1.0,0.0,0.0,0,812,3
204,1.0,0.0,0.0,1.0,0.0,0.0,0,813,2
205,1.0,0.0,0.0,1.0,0.0,0.0,0,814,5
206,1.0,0.0,0.0,1.0,0.0,0.0,0,815,12
207,1.0,0.0,0.0,1.0,0.0,0.0,0,816,3
208,1.0,0.0,0.0,1.0,0.0,0.0,0,817,3
209,1.0,0.0,0.0,1.0,0.0,0.0,0,818,7
210,1.0,0.0,0.0,1.0,0.0,0.0,0,819,4
211,1.0,0.0,0.0,1.0,0.0,0.0,0,820,7
212,1.0,0.0,0.0,1.0,0.0,0.0,0,821,3
213,1.0,0.0,0.0,1.0,0.0,0.0,0,823,4
214,1.0,0.0,0.0,1.0,0.0,0.0,0,824,3
215,1.0,0.0,0.0,1.0,0.0,0.0,0,825,2
216,1.0,0.0,0.0,1.0,0.0,0.0,0,826,4
217,1.0,0.0,0.0,1.0,0.0,0.0,0,827,1
218,1.0,0.0,0.0,1.0,0.0,0.0,0,828,1
219,1.0,0.0,0.0,1.0,0.0,0.0,0,829,5
220,1.0,0.0,0.0,1.0,0.0,0.0,0,830,5
221,1.0,0.0,0.0,1.0,0.0,0.0,0,831,5
222,1.0,0.0,0.0,1.0,0.0,0.0,0,832,2
223,1.0,0.0,0.0,1.0,0.0,0.0,0,833,5
224,1.0,0.0,0.0,1.0,0.0,0.0,0,834,1
225,1.0,0.0,0.0,1.0,0.0,0.0,0,837,3
226,1.0,0.0,0.0,1.0,0.0,0.0,0,838,2
227,1.0,0.0,0.0,1.0,0.0,0.0,0,839,5
228,1.0,0.0,0.0,1.0,0.0,0.0,0,840,3
229,1.0,0.0,0.0,1.0,0.0,0.0,0,841,3
230,1.0,0.0,0.0,1.0,0.0,0.0,0,843,6
231,1.0,0.0,0.0,1.0,0.0,0.0,0,844,2
232,1.0,0.0,0.0,1.0,0.0,0.0,0,845,5
233,1.0,0.0,0.0,1.0,0.0,0.0,0,847,5
234,1.0,0.0,0.0,1.0,0.0,0.0,0,848,3
235,1.0,0.0,0.0,1.0,0.0,0.0,0,849,10
236,1.0,0.0,0.0,1.0,0.0,0.0,0,850,4
237,1.0,0.0,0.0,1.0,0.0,0.0,0,851,1
238,1.0,0.0,0.0,1.0,0.0,0.0,0,852,4
239,1.0,0.0,0.0,1.0,0.0,0.0,0,853,4
240,1.0,0.0,0.0,1.0,0.0,0.0,0,854,2
241,1.0,0.0,0.0,1.0,0.0,0.0,0,855,1
242,1.0,0.0,0.0,1.0,0.0,0.0,0,856,4
243,1.0,0.0,0.0,1.0,0.0,0.0,0,858,1
244,1.0,0.0,0.0,1.0,0.0,0.0,0,859,2
245,1.0,0.0,0.0,1.0,0.0,0.0,0,860,1
246,1.0,0.0,0.0,1.0,0.0,0.0,0,861,1
247,1.0,0.0,0.0,1.0,0.0,0.0,0,862,2
248,1.0,0.0,0.0,1.0,0.0,0.0,0,864,1
249,1.0,0.0,0.0,1.0,0.0,0.0,0,866,2
250,1.0,0.0,0.0,1.0,0.0,0.0,0,867,1
251,1.0,0.0,0.0,1.0,0.0,0.0,0,868,1
252,1.0,0.0,0.0,1.0,0.0,0.0,0,869,2
253,1.0,0.0,0.0,1.0,0.0,0.0,0,874,1
254,1.0,0.0,0.0,1.0,0.0,0.0,0,1019,5
255,1.0,0.0,0.0,1.0,0.0,0.0,0,1020,7
256,1.0,0.0,0.0,1.0,0.0,0.0,0,1021,8
257,1.0,0.0,0.0,1.0,0.0,0.0,0,1022,8
258,1.0,0.0,0.0,1.0,0.0,0.0,0,1023,4
259,1.0,0.0,0.0,1.0,0.0,0.0,0,1024,9
260,1.0,0.0,0.0,1.0,0.0,0.0,0,1025,15
261,1.0,0.0,0.0,1.0,0.0,0.0,0,1026,17
262,1.0,0.0,0.0,1.0,0.0,0.0,0,1027,5
263,1.0,0.0,0.0,1.0,0.0,0.0,0,1028,8
264,1.0,0.0,0.0,1.0,0.0,0.0,0,1029,8
265,1.0,0.0,0.0,1.0,0.0,0.0,0,1030,12
266,1.0,0.0,0.0,1.0,0.0,0.0,0,1031,15
267,1.0,0.0,0.0,1.0,0.0,0.0,0,1032,13
268,1.0,0.0,0.0,1.0,0.0,0.0,0,1033,16
269,1.0,0.0,0.0,1.0,0.0,0.0,0,1034,11
270,1.0,0.0,0.0,1.0,0.0,0.0,0,1035,12
271,1.0,0.0,0.0,1.0,0.0,0.0,0,1036,7
272,1.0,0.0,0.0,1.0,0.0,0.0,0,1037,13
273,1.0,0.0,0.0,1.0,0.0,0.0,0,1038,11
274,1.0,0.0,0.0,1.0,0.0,0.0,0,1039,7
275,1.0,0.0,0.0,1.0,0.0,0.0,0,1040,14
276,1.0,0.0,0.0,1.0,0.0,0.0,0,1041,6
277,1.0,0.0,0.0,1.0,0.0,0.0,0,1042,9
278,1.0,0.0,0.0,1.0,0.0,0.0,0,1043,5
279,1.0,0.0,0.0,1.0,0.0,0.0,0,1044,12
280,1.0,0.0,0.0,1.0,0.0,0.0,0,1045,5
281,1.0,0.0,0.0,1.0,0.0,0.0,0,1046,11
282,1.0,0.0,0.0,1.0,0.0,0.0,0,1047,15
283,1.0,0.0,0.0,1.0,0.0,0.0,0,1048,9
284,1.0,0.0,0.0,1.0,0.0,0.0,0,1049,2
285,1.0,0.0,0.0,1.0,0.0,0.0,0,1050,6
286,1.0,0.0,0.0,1.0,0.0,0.0,0,1051,6
287,1.0,0.0,0.0,1.0,0.0,0.0,0,1052,10
288,1.0,0.0,0.0,1.0,0.0,0.0,0,1053,8
289,1.0,0.0,0.0,1.0,0.0,0.0,0,1054,9
290,1.0,0.0,0.0,1.0,0.0,0.0,0,1055,11
291,1.0,0.0,0.0,1.0,0.0,0.0,0,1056,18
292,1.0,0.0,0.0,1.0,0.0,0.0,0,1057,14
293,1.0,0.0,0.0,1.0,0.0,0.0,0,1058,9
294,1.0,0.0,0.0,1.0,0.0,0.0,0,1059,12
295,1.0,0.0,0.0,1.0,0.0,0.0,0,1060,18
296,1.0,0.0,0.0,1.0,0.0,0.0,0,1061,8
297,1.0,0.0,0.0,1.0,0.0,0.0,0,1062,12
298,1.0,0.0,0.0,1.0,0.0,0.0,0,1063,11
299,1.0,0.0,0.0,1.0,0.0,0.0,0,1064,12
300,1.0,0.0,0.0,1.0,0.0,0.0,0,1065,7
301,1.0,0.0,0.0,1.0,0.0,0.0,0,1066,7
302,1.0,0.0,0.0,1.0,0.0,0.0,0,1067,1
303,1.0,0.0,0.0,1.0,0.0,0.0,0,1068,5
304,1.0,0.0,0.0,1.0,0.0,0.0,0,1069,3
305,1.0,0.0,0.0,1.0,0.0,0.0,0,1070,3
306,1.0,0.0,0.0,1.0,0.0,0.0,0,1071,4
307,1.0,0.0,0.0,1.0,0.0,0.0,0,1072,5
308,1.0,0.0,0.0,1.0,0.0,0.0,0,1073,4
309,1.0,0.0,0.0,1.0,0.0,0.0,0,1074,6
310,1.0,0.0,0.0,1.0,0.0,0.0,0,1075,8
311,1.0,0.0,0.0,1.0,0.0,0.0,0,1076,1
312,1.0,0.0,0.0,1.0,0.0,0.0,0,1077,4
313,1.0,0.0,0.0,1.0,0.0,0.0,0,1078,3
314,1.0,0.0,0.0,1.0,0.0,0.0,0,1079,5
315,1.0,0.0,0.0,1.0,0.0,0.0,0,1080,2
316,1.0,0.0,0.0,1.0,0.0,0.0,0,1081,1
317,1.0,0.0,0.0,1.0,0.0,0.0,0,1082,1
318,1.0,0.0,0.0,1.0,0.0,0.0,0,1083,3
319,1.0,0.0,0.0,1.0,0.0,0.0,0,1087,1
320,1.0,0.0,0.0,1.0,0.0,0.0,0,1091,1
321,1.0,0.0,0.0,1.0,0.0,0.0,0,1092,2
322,1.0,0.0,0.0,1.0,0.0,0.0,0,1094,1
323,1.0,0.0,0.0,1.0,0.0,0.0,0,1199,1
324,1.0,0.0,0.0,1.0,0.0,0.0,0,1200,1
325,1.0,0.0,0.0,1.0,0.0,0.0,0,1201,1
326,1.0,0.0,0.0,1.0,0.0,0.0,0,1202,5
327,1.0,0.0,0.0,1.0,0.0,0.0,0,1203,1
328,1.0,0.0,0.0,1.0,0.0,0.0,0,1204,6
329,1.0,0.0,0.0,1.0,0.0,0.0,0,1205,6
330,1.0,0.0,0.0,1.0,0.0,0.0,0,1206,4
331,1.0,0.0,0.0,1.0,0.0,0.0,0,1207,8
332,1.0,0.0,0.0,1.0,0.0,0.0,0,1208,6
333,1.0,0.0,0.0,1.0,0.0,0.0,0,1209,7
334,1.0,0.0,0.0,1.0,0.0,0.0,0,1210,4
335,1.0,0.0,0.0,1.0,0.0,0.0,0,1211,8
336,1.0,0.0,0.0,1.0,0.0,0.0,0,1212,9
337,1.0,0.0,0.0,1.0,0.0,0.0,0,1213,9
338,1.0,0.0,0.0,1.0,0.0,0.0,0,1214,8
339,1.0,0.0,0.0,1.0,0.0,0.0,0,1215,9
340,1.0,0.0,0.0,1.0,0.0,0.0,0,1216,7
341,1.0,0.0,0.0,1.0,0.0,0.0,0,1217,9
342,1.0,0.0,0.0,1.0,0.0,0.0,0,1218,8
343,1.0,0.0,0.0,1.0,0.0,0.0,0,1219,9
344,1.0,0.0,0.0,1.0,0.0,0.0,0,1220,7
345,1.0,0.0,0.0,1.0,0.0,0.0,0,1221,7
346,1.0,0.0,0.0,1.0,0.0,0.0,0,1222,5
347,1.0,0.0,0.0,1.0,0.0,0.0,0,1223,12
348,1.0,0.0,0.0,1.0,0.0,0.0,0,1224,5
349,1.0,0.0,0.0,1.0,0.0,0.0,0,1225,14
350,1.0,0.0,0.0,1.0,0.0,0.0,0,1226,11
351,1.0,0.0,0.0,1.0,0.0,0.0,0,1227,10
352,1.0,0.0,0.0,1.0,0.0,0.0,0,1228,7
353,1.0,0.0,0.0,1.0,0.0,0.0,0,1229,6
354,1.0,0.0,0.0,1.0,0.0,0.0,0,1230,7
355,1.0,0.0,0.0,1.0,0.0,0.0,0,1231,7
356,1.0,0.0,0.0,1.0,0.0,0.0,0,1232,6
357,1.0,0.0,0.0,1.0,0.0,0.0,0,1233,7
358,1.0,0.0,0.0,1.0,0.0,0.0,0,1234,5
359,1.0,0.0,0.0,1.0,0.0,0.0,0,1235,3
360,1.0,0.0,0.0,1.0,0.0,0.0,0,1236,2
361,1.0,0.0,0.0,1.0,0.0,0.0,0,1237,8
362,1.0,0.0,0.0,1.0,0.0,0.0,0,1238,5
363,1.0,0.0,0.0,1.0,0.0,0.0,0,1239,7
364,1.0,0.0,0.0,1.0,0.0,0.0,0,1240,4
365,1.0,0.0,0.0,1.0,0.0,0.0,0,1241,5
366,1.0,0.0,0.0,1.0,0.0,0.0,0,1242,10
367,1.0,0.0,0.0,1.0,0.0,0.0,0,1243,3
368,1.0,0.0,0.0,1.0,0.0,0.0,0,1244,5
369,1.0,0.0,0.0,1.0,0.0,0.0,0,1245,7
370,1.0,0.0,0.0,1.0,0.0,0.0,0,1246,6
371,1.0,0.0,0.0,1.0,0.0,0.0,0,1247,6
372,1.0,0.0,0.0,1.0,0.0,0.0,0,1248,8
373,1.0,0.0,0.0,1.0,0.0,0.0,0,1249,10
374,1.0,0.0,0.0,1.0,0.0,0.0,0,1250,9
375,1.0,0.0,0.0,1.0,0.0,0.0,0,1251,6
376,1.0,0.0,0.0,1.0,0.0,0.0,0,1252,7
377,1.0,0.0,0.0,1.0,0.0,0.0,0,1253,13
378,1.0,0.0,0.0,1.0,0.0,0.0,0,1254,8
379,1.0,0.0,0.0,1.0,0.0,0.0,0,1255,7
380,1.0,0.0,0.0,1.0,0.0,0.0,0,1256,7
381,1.0,0.0,0.0,1.0,0.0,0.0,0,1257,9
382,1.0,0.0,0.0,1.0,0.0,0.0,0,1258,6
383,1.0,0.0,0.0,1.0,0.0,0.0,0,1259,8
384,1.0,0.0,0.0,1.0,0.0,0.0,0,1260,7
385,1.0,0.0,0.0,1.0,0.0,0.0,0,1261,9
386,1.0,0.0,0.0,1.0,0.0,0.0,0,1262,3
387,1.0,0.0,0.0,1.0,0.0,0.0,0,1263,6
388,1.0,0.0,0.0,1.0,0.0,0.0,0,1264,7
389,1.0,0.0,0.0,1.0,0.0,0.0,0,1265,3
390,1.0,0.0,0.0,1.0,0.0,0.0,0,1266,9
391,1.0,0.0,0.0,1.0,0.0,0.0,0,1267,7
392,1.0,0.0,0.0,1.0,0.0,0.0,0,1268,9
393,1.0,0.0,0.0,1.0,0.0,0.0,0,1269,8
394,1.0,0.0,0.0,1.0,0.0,0.0,0,1270,6
395,1.0,0.0,0.0,1.0,0.0,0.0,0,1271,7
396,1.0,0.0,0.0,1.0,0.0,0.0,0,1272,9
397,1.0,0.0,0.0,1.0,0.0,0.0,0,1273,7
398,1.0,0.0,0.0,1.0,0.0,0.0,0,1274,6
399,1.0,0.0,0.0,1.0,0.0,0.0,0,1275,6
400,1.0,0.0,0.0,1.0,0.0,0.0,0,1276,11
401,1.0,0.0,0.0,1.0,0.0,0.0,0,1277,2
402,1.0,0.0,0.0,1.0,0.0,0.0,0,1278,1
403,1.0,0.0,0.0,1.0,0.0,0.0,0,1279,5
404,1.0,0.0,0.0,1.0,0.0,0.0,0,1280,7
405,1.0,0.0,0.0,1.0,0.0,0.0,0,1281,6
406,1.0,0.0,0.0,1.0,0.0,0.0,0,1282,6
407,1.0,0.0,0.0,1.0,0.0,0.0,0,1283,6
408,1.0,0.0,0.0,1.0,0.0,0.0,0,1284,5
409,1.0,0.0,0.0,1.0,0.0,0.0,0,1285,6
410,1.0,0.0,0.0,1.0,0.0,0.0,0,1286,4
411,1.0,0.0,0.0,1.0,0.0,0.0,0,1287,2
412,1.0,0.0,0.0,1.0,0.0,0.0,0,1288,2
413,1.0,0.0,0.0,1.0,0.0,0.0,0,1289,4
414,1.0,0.0,0.0,1.0,0.0,0.0,0,1290,6
415,1.0,0.0,0.0,1.0,0.0,0.0,0,1291,4
416,1.0,0.0,0.0,1.0,0.0,0.0,0,1292,4
417,1.0,0.0,0.0,1.0,0.0,0.0,0,1293,3
418,1.0,0.0,0.0,1.0,0.0,0.0,0,1294,2
419,1.0,0.0,0.0,1.0,0.0,0.0,0,1295,3
420,1.0,0.0,0.0,1.0,0.0,0.0,0,1296,3
421,1.0,0.0,0.0,1.0,0.0,0.0,0,1297,6
422,1.0,0.0,0.0,1.0,0.0,0.0,0,1298,5
423,1.0,0.0,0.0,1.0,0.0,0.0,0,1299,5
424,1.0,0.0,0.0,1.0,0.0,0.0,0,1300,3
425,1.0,0.0,0.0,1.0,0.0,0.0,0,1301,1
426,1.0,0.0,0.0,1.0,0.0,0.0,0,1302,4
